번호,신고일,구정보,주소,유형,조치일,,,,,,,,,,,,,,,,,
112,2025.5.1,용산구,서울특별시 용산구 도원동 27,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
113,2025.5.1,강서구,서울특별시 강서구 등촌동 709-1,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
114,2025.5.1,용산구,서울특별시 용산구 도원동 27,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
115,2025.5.1,동작구,서울특별시 동작구 상도동 514,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
116,2025.5.1,동작구,서울특별시 동작구 상도동 517,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
117,2025.5.1,강동구,서울특별시 강동구 고덕동 산11-1,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
118,2025.5.1,용산구,서울특별시 용산구 효창동 5-62,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
119,2025.5.1,강동구,서울특별시 강동구 고덕동 353-12,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
120,2025.5.1,송파구,서울특별시 송파구 거여동 657-9,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
121,2025.5.1,강동구,서울특별시 강동구 고덕동 353-14,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
122,2025.5.1,동작구,서울특별시 동작구 대방동 503-2,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
123,2025.5.1,송파구,서울특별시 송파구 거여동 657-10,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
124,2025.5.1,강서구,서울특별시 강서구 마곡동 788-5,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
125,2025.5.1,동작구,서울특별시 동작구 대방동 17-5,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
126,2025.5.1,용산구,서울특별시 용산구 청파동2가 1-169,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
127,2025.5.1,동작구,서울특별시 동작구 상도동 439,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
128,2025.5.1,영등포구,서울특별시 영등포구 문래동5가 23-4,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
129,2025.5.1,강서구,서울특별시 강서구 마곡동 788-5,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
130,2025.5.1,강서구,서울특별시 강서구 마곡동 788-5,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
131,2025.5.1,강동구,서울특별시 강동구 고덕동 342,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
132,2025.5.1,영등포구,서울특별시 영등포구 문래동6가 57,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
133,2025.5.1,구로구,서울특별시 구로구 구로동 795-1,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
134,2025.5.1,송파구,서울특별시 송파구 마천동 187-1,점자블록 또는 교통약자 엘리베이터,2025.5.1,,,,,,,,,,,,,,,,,
135,2025.5.1,구로구,서울특별시 구로구 구로동 235,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
136,2025.5.1,구로구,서울특별시 구로구 구로동 234-1,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
137,2025.5.1,영등포구,서울특별시 영등포구 양평동2가 12-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
138,2025.5.1,용산구,서울특별시 용산구 효창동 3-151,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
139,2025.5.1,구로구,서울특별시 구로구 구로동 1125-12,교통섬 내부,2025.5.1,,,,,,,,,,,,,,,,,
140,2025.5.1,용산구,서울특별시 용산구 서계동 266-53,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
141,2025.5.1,영등포구,서울특별시 영등포구 양평동2가 37-3,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
142,2025.5.1,강남구,서울특별시 강남구 삼성동 52-1,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
143,2025.5.1,강남구,서울특별시 강남구 삼성동 111-61,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
144,2025.5.1,관악구,서울특별시 관악구 신림동 470,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
145,2025.5.1,강남구,서울특별시 강남구 삼성동 111-61,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
146,2025.5.1,강남구,서울특별시 강남구 삼성동 111-61,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
147,2025.5.1,동작구,서울특별시 동작구 신대방동 459-5,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
148,2025.5.1,금천구,서울특별시 금천구 가산동 318-2,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
149,2025.5.1,양천구,서울특별시 양천구 신월동 260,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
150,2025.5.1,강남구,서울특별시 강남구 삼성동 119,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
151,2025.5.1,양천구,서울특별시 양천구 신월동 260,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
152,2025.5.1,강남구,서울특별시 강남구 삼성동 111-61,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
153,2025.5.1,관악구,서울특별시 관악구 봉천동 1732-6,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
154,2025.5.1,양천구,서울특별시 양천구 신월동 260,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
155,2025.5.1,구로구,서울특별시 구로구 구로동 384-4,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
156,2025.5.1,영등포구,서울특별시 영등포구 양평동1가 216-3,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
157,2025.5.1,금천구,서울특별시 금천구 독산동 1081-3,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
158,2025.5.1,양천구,서울특별시 양천구 신월동 260,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
