grid_id,grid_x,grid_y,center_x_m,center_y_m
4732_9716,4732,9716,946500.0,1943300.0
4732_9722,4732,9722,946500.0,1944500.0
4732_9723,4732,9723,946500.0,1944700.0
4732_9725,4732,9725,946500.0,1945100.0
4732_9726,4732,9726,946500.0,1945300.0
4732_9727,4732,9727,946500.0,1945500.0
4732_9728,4732,9728,946500.0,1945700.0
4732_9730,4732,9730,946500.0,1946100.0
4732_9731,4732,9731,946500.0,1946300.0
4732_9733,4732,9733,946500.0,1946700.0
4732_9734,4732,9734,946500.0,1946900.0
4732_9737,4732,9737,946500.0,1947500.0
4732_9739,4732,9739,946500.0,1947900.0
4732_9740,4732,9740,946500.0,1948100.0
4732_9744,4732,9744,946500.0,1948900.0
4732_9745,4732,9745,946500.0,1949100.0
4732_9766,4732,9766,946500.0,1953300.0
4732_9767,4732,9767,946500.0,1953500.0
4732_9770,4732,9770,946500.0,1954100.0
4733_9703,4733,9703,946700.0,1940700.0
4733_9710,4733,9710,946700.0,1942100.0
4733_9713,4733,9713,946700.0,1942700.0
4733_9714,4733,9714,946700.0,1942900.0
4733_9715,4733,9715,946700.0,1943100.0
4733_9720,4733,9720,946700.0,1944100.0
4733_9722,4733,9722,946700.0,1944500.0
4733_9724,4733,9724,946700.0,1944900.0
4733_9725,4733,9725,946700.0,1945100.0
4733_9726,4733,9726,946700.0,1945300.0
4733_9727,4733,9727,946700.0,1945500.0
4733_9728,4733,9728,946700.0,1945700.0
4733_9730,4733,9730,946700.0,1946100.0
4733_9731,4733,9731,946700.0,1946300.0
4733_9735,4733,9735,946700.0,1947100.0
4733_9740,4733,9740,946700.0,1948100.0
4733_9741,4733,9741,946700.0,1948300.0
4733_9755,4733,9755,946700.0,1951100.0
4734_9696,4734,9696,946900.0,1939300.0
4734_9704,4734,9704,946900.0,1940900.0
4734_9714,4734,9714,946900.0,1942900.0
4734_9716,4734,9716,946900.0,1943300.0
4734_9717,4734,9717,946900.0,1943500.0
4734_9720,4734,9720,946900.0,1944100.0
4734_9721,4734,9721,946900.0,1944300.0
4734_9729,4734,9729,946900.0,1945900.0
4734_9732,4734,9732,946900.0,1946500.0
4734_9736,4734,9736,946900.0,1947300.0
4734_9754,4734,9754,946900.0,1950900.0
4734_9755,4734,9755,946900.0,1951100.0
4734_9756,4734,9756,946900.0,1951300.0
4734_9765,4734,9765,946900.0,1953100.0
4735_9693,4735,9693,947100.0,1938700.0
4735_9694,4735,9694,947100.0,1938900.0
4735_9696,4735,9696,947100.0,1939300.0
4735_9704,4735,9704,947100.0,1940900.0
4735_9711,4735,9711,947100.0,1942300.0
4735_9721,4735,9721,947100.0,1944300.0
4735_9722,4735,9722,947100.0,1944500.0
4735_9727,4735,9727,947100.0,1945500.0
4735_9728,4735,9728,947100.0,1945700.0
4735_9729,4735,9729,947100.0,1945900.0
4735_9741,4735,9741,947100.0,1948300.0
4735_9753,4735,9753,947100.0,1950700.0
4735_9754,4735,9754,947100.0,1950900.0
4735_9755,4735,9755,947100.0,1951100.0
4736_9693,4736,9693,947300.0,1938700.0
4736_9694,4736,9694,947300.0,1938900.0
4736_9695,4736,9695,947300.0,1939100.0
4736_9708,4736,9708,947300.0,1941700.0
4736_9712,4736,9712,947300.0,1942500.0
4736_9713,4736,9713,947300.0,1942700.0
4736_9714,4736,9714,947300.0,1942900.0
4736_9715,4736,9715,947300.0,1943100.0
4736_9717,4736,9717,947300.0,1943500.0
4736_9719,4736,9719,947300.0,1943900.0
4736_9723,4736,9723,947300.0,1944700.0
4736_9724,4736,9724,947300.0,1944900.0
4736_9729,4736,9729,947300.0,1945900.0
4736_9737,4736,9737,947300.0,1947500.0
4736_9738,4736,9738,947300.0,1947700.0
4736_9752,4736,9752,947300.0,1950500.0
4736_9755,4736,9755,947300.0,1951100.0
4736_9757,4736,9757,947300.0,1951500.0
4736_9758,4736,9758,947300.0,1951700.0
4736_9759,4736,9759,947300.0,1951900.0
4737_9694,4737,9694,947500.0,1938900.0
4737_9706,4737,9706,947500.0,1941300.0
4737_9708,4737,9708,947500.0,1941700.0
4737_9710,4737,9710,947500.0,1942100.0
4737_9715,4737,9715,947500.0,1943100.0
4737_9716,4737,9716,947500.0,1943300.0
4737_9717,4737,9717,947500.0,1943500.0
4737_9720,4737,9720,947500.0,1944100.0
4737_9721,4737,9721,947500.0,1944300.0
4737_9725,4737,9725,947500.0,1945100.0
4737_9727,4737,9727,947500.0,1945500.0
4737_9734,4737,9734,947500.0,1946900.0
4737_9739,4737,9739,947500.0,1947900.0
4737_9751,4737,9751,947500.0,1950300.0
4737_9752,4737,9752,947500.0,1950500.0
4737_9755,4737,9755,947500.0,1951100.0
4737_9757,4737,9757,947500.0,1951500.0
4737_9758,4737,9758,947500.0,1951700.0
4737_9759,4737,9759,947500.0,1951900.0
4737_9764,4737,9764,947500.0,1952900.0
4737_9770,4737,9770,947500.0,1954100.0
4737_9773,4737,9773,947500.0,1954700.0
4737_9774,4737,9774,947500.0,1954900.0
4738_9698,4738,9698,947700.0,1939700.0
4738_9700,4738,9700,947700.0,1940100.0
4738_9705,4738,9705,947700.0,1941100.0
4738_9712,4738,9712,947700.0,1942500.0
4738_9713,4738,9713,947700.0,1942700.0
4738_9714,4738,9714,947700.0,1942900.0
4738_9715,4738,9715,947700.0,1943100.0
4738_9716,4738,9716,947700.0,1943300.0
4738_9719,4738,9719,947700.0,1943900.0
4738_9720,4738,9720,947700.0,1944100.0
4738_9726,4738,9726,947700.0,1945300.0
4738_9733,4738,9733,947700.0,1946700.0
4738_9738,4738,9738,947700.0,1947700.0
4738_9750,4738,9750,947700.0,1950100.0
4738_9751,4738,9751,947700.0,1950300.0
4738_9752,4738,9752,947700.0,1950500.0
4738_9753,4738,9753,947700.0,1950700.0
4738_9754,4738,9754,947700.0,1950900.0
4738_9755,4738,9755,947700.0,1951100.0
4738_9765,4738,9765,947700.0,1953100.0
4738_9767,4738,9767,947700.0,1953500.0
4738_9770,4738,9770,947700.0,1954100.0
4738_9774,4738,9774,947700.0,1954900.0
4738_9776,4738,9776,947700.0,1955300.0
4738_9783,4738,9783,947700.0,1956700.0
4739_9712,4739,9712,947900.0,1942500.0
4739_9713,4739,9713,947900.0,1942700.0
4739_9714,4739,9714,947900.0,1942900.0
4739_9716,4739,9716,947900.0,1943300.0
4739_9750,4739,9750,947900.0,1950100.0
