주소_clean,roadAddr,lat,lon
서울특별시 강남구 삼성동 172-10,서울특별시 강남구 봉은사로112길 11-2 (삼성동),37.51418779999999,127.0654675
서울특별시 강남구 삼성동 172-23,,37.5129641,127.0648418
서울특별시 강남구 삼성동 164-3,서울특별시 강남구 봉은사로114길 28 (삼성동),37.513361,127.0654537
서울특별시 강남구 역삼동 803-3,서울특별시 강남구 논현로 429-2 (역삼동),37.4982583,127.038131
서울특별시 강남구 삼성동 164,서울특별시 강남구 봉은사로112길 23 (삼성동),37.5133896,127.065158
서울특별시 동작구 상도동 514,서울특별시 동작구 상도로 365-2 (상도동),37.4958252,126.9540533
서울특별시 강남구 삼성동 163-3,서울특별시 강남구 봉은사로114길 12 (삼성동),37.5144857,127.0654791
서울특별시 송파구 장지동 839,서울특별시 송파구 송파대로 96 (장지동),37.4768715,127.1320663
서울특별시 송파구 장지동 834-5,,37.4851915,127.1323324
서울특별시 강남구 삼성동 162-13,서울특별시 강남구 봉은사로 638 (삼성동),37.5148174,127.0650806
서울특별시 강남구 삼성동 172,서울특별시 강남구 봉은사로 지하601 (삼성동),37.5109479,127.047282
서울특별시 강남구 삼성동 162-2,서울특별시 강남구 봉은사로 628 (삼성동),37.514646,127.064176
서울특별시 강남구 삼성동 52-6,,37.5178523,127.0515908
서울특별시 강남구 삼성동 66,서울특별시 강남구 삼성로 628 (삼성동),37.51397499999999,127.0561274
서울특별시 송파구 신천동 17-4,서울특별시 송파구 올림픽로37길 130 (신천동),37.5208648,127.1043128
서울특별시 송파구 신천동 8,서울특별시 송파구 올림픽로 지하265 (신천동),37.52099219999999,127.0991094
서울특별시 송파구 거여동 33-19,,37.4924149,127.150231
서울특별시 송파구 거여동 33-7,서울특별시 송파구 오금로 560 (거여동),37.4934955,127.1424303
서울특별시 양천구 목동 764-4,"서울특별시 양천구 목동중앙남로 10 (목동, 신목아파트)",37.5355089,126.8692588
서울특별시 구로구 고척동 74-3,,37.4980176,126.8623665
서울특별시 구로구 고척동 83-6,서울특별시 구로구 중앙로3길 49 (고척동),37.498639,126.8619048
서울특별시 송파구 거여동 290-5,,37.4897649,127.1448431
서울특별시 양천구 목동 903-4,,37.5348092,126.8701615
서울특별시 구로구 고척동 76-77,,37.5001711,126.8657328
서울특별시 구로구 구로동 759-1,서울특별시 구로구 구로동로 104-5 (구로동),37.4883389,126.8846727
서울특별시 구로구 구로동 759-4,서울특별시 구로구 구로동로 130-3 (구로동),37.49030510000001,126.8841204
서울특별시 강남구 역삼동 837-26,서울특별시 강남구 도곡로1길 14 (역삼동),37.4909042,127.0324853
서울특별시 관악구 신림동 98-50,,37.4749417,126.9418
서울특별시 송파구 가락동 192-3,,37.4962336,127.1336936
서울특별시 강남구 역삼동 805,서울특별시 강남구 도곡로 177-2 (역삼동),37.4928448,127.041974
서울특별시 동작구 사당동 1043-16,,37.4769153,126.9811546
서울특별시 동작구 사당동 1043-15,,37.4771003,126.9812776
서울특별시 강남구 논현동 279-23,서울특별시 강남구 언주로 710-2 (논현동),37.5184781,127.0349554
서울특별시 강남구 논현동 98-1,,37.5200389,127.0349177
서울특별시 강남구 논현동 98-2,서울특별시 강남구 언주로 728 (논현동),37.5136787,127.0317124
서울특별시 강남구 논현동 105-7,서울특별시 강남구 언주로 726 (논현동),37.5136787,127.0317124
서울특별시 구로구 구로동 141-3,서울특별시 구로구 도림로 75-1 (구로동),37.4900116,126.8922875
서울특별시 동작구 사당동 1159-2,,37.4884344,126.9731936
서울특별시 강남구 도곡동 952-10,서울특별시 강남구 강남대로 248 (도곡동),37.4857241,127.0339427
서울특별시 금천구 독산동 1004-13,서울특별시 금천구 벚꽃로 110 (독산동),37.4650626,126.8904071
서울특별시 관악구 봉천동 1693-75,,37.4777503,126.9458168
서울특별시 관악구 봉천동 1693-22,,37.4769918,126.9455301
서울특별시 강남구 논현동 106,서울특별시 강남구 언주로 714 (논현동),37.5136787,127.0317124
서울특별시 금천구 독산동 297-1,서울특별시 금천구 가산로 85 (독산동),37.4735714,126.8945288
서울특별시 강남구 도곡동 947-25,서울특별시 강남구 도곡로4길 28 (도곡동),37.489539,127.0489078
서울특별시 강남구 논현동 279-67,서울특별시 강남구 학동로 지하102 (논현동),37.51673170000001,127.042221
서울특별시 강남구 도곡동 914-13,,37.48804,127.03493
서울특별시 강남구 도곡동 958-20,,37.4894368,127.0335617
서울특별시 강남구 논현동 115-16,서울특별시 강남구 학동로 307 (논현동),37.516003,127.0363211
서울특별시 구로구 구로동 212-16,서울특별시 구로구 디지털로27길 24 (구로동),37.4834545,126.8929463
서울특별시 동작구 신대방동 700-4,,37.4873033,126.9115064
서울특별시 구로구 구로동 197-9,,37.4860691,126.8939599
서울특별시 강동구 암사동 505-6,,37.5538012,127.1280273
서울특별시 구로구 구로동 187-10,서울특별시 구로구 디지털로34길 43 (구로동),37.485078,126.8988106
서울특별시 금천구 가산동 426-5,서울특별시 금천구 가산디지털2로 123 (가산동),37.4787568,126.8787171
서울특별시 강서구 내발산동 724-64,,37.5481193,126.8328504
서울특별시 강서구 내발산동 742-5,,37.5533462,126.8299941
서울특별시 강서구 내발산동 759-8,,37.5506955,126.8246958
서울특별시 관악구 봉천동 1693-54,,37.4811386,126.9558932
서울특별시 노원구 중계동 391-1,,37.6491927,127.0796181
서울특별시 관악구 봉천동 982-3,,37.48616579999999,126.9400091
서울특별시 관악구 신림동 1467-4,,37.4871856,126.9325271
서울특별시 동작구 상도동 514-12,,37.4943168,126.9543048
서울특별시 노원구 상계동 729,서울특별시 노원구 동일로 1378-2 (상계동),37.65350770000001,127.0608068
서울특별시 관악구 봉천동 196-1,,37.4735469,126.9637699
서울특별시 관악구 신림동 409-401,,37.4781865,126.9321535
서울특별시 양천구 목동 902-1,서울특별시 양천구 목동중앙로 88 (목동),37.536659,126.8725539
서울특별시 동작구 본동 485-2,,37.5093519,126.9546526
서울특별시 관악구 봉천동 979-2,서울특별시 관악구 남부순환로 지하1822 (봉천동),37.4799015,126.9404631
서울특별시 양천구 목동 901-8,,37.5401665,126.8812629
서울특별시 동작구 본동 148-9,,37.5106713,126.9512111
서울특별시 관악구 봉천동 978-17,,37.4819677,126.9526734
서울특별시 노원구 하계동 270-3,서울특별시 노원구 섬밭로 210-2 (하계동),37.6352935,127.0671551
서울특별시 노원구 중계동 391,서울특별시 노원구 덕릉로 672-2 (중계동),37.6527435,127.0772221
서울특별시 양천구 목동 901,"서울특별시 양천구 목동서로 38 (목동, 목동신시가지아파트1단지)",37.537836,126.881576
서울특별시 동작구 상도1동 497,서울특별시 동작구 상도로 392-15 (상도동),37.4939756,126.9545291
서울특별시 도봉구 창동 660-14,,37.6504234,127.0377799
서울특별시 금천구 시흥동 799,서울특별시 금천구 독산로40길 45 (시흥동),37.46094799999999,126.9068973
서울특별시 도봉구 창동 660-2,,37.6486578,127.0382696
서울특별시 도봉구 창동 660-5,,37.646645,127.0345753
서울특별시 도봉구 창동 445-4,,37.64339200000001,127.0392364
서울특별시 금천구 시흥동 1000-11,,37.4614587,126.9092768
서울특별시 양천구 목동 611-1,서울특별시 양천구 목동중앙북로7가길 37 (목동),37.5492228,126.8654725
서울특별시 강서구 화곡동 940-6,,37.5310001,126.8525965
서울특별시 관악구 봉천동 979-7,서울특별시 관악구 남부순환로 지하1721 (봉천동),37.487812,126.957234
서울특별시 금천구 독산동 946,,37.4681227,126.9055257
서울특별시 노원구 중계동 359-16,,37.6515716,127.0764115
서울특별시 노원구 상계동 767-4,서울특별시 노원구 동일로213길 77 (상계동),37.647755,127.0577479
서울특별시 관악구 봉천동 1627-7,서울특별시 관악구 낙성대로 8 (봉천동),37.4779081,126.9592526
서울특별시 금천구 독산동 938,서울특별시 금천구 독산로54길 129 (독산동),37.4677652,126.9072824
